title,genre,director,country,year,wiki_url
1+1 (фильм),комедийная драма; бадди-муви,Оливье Накаш; 2; Эрик Толедано,Франция,2011,https://ru.wikipedia.org/wiki/1%2B1_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
01-99,комедия,Амасий Мартиросян,СССР,1959,https://ru.wikipedia.org/wiki/01-99
1 % (фильм),криминальный,Стив МакКаллум,Австралия,2017,https://ru.wikipedia.org/wiki/1_%25_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
1 миля до тебя,драма; мелодрама,Лейф Тильден,США,2017,https://ru.wikipedia.org/wiki/1_%D0%BC%D0%B8%D0%BB%D1%8F_%D0%B4%D0%BE_%D1%82%D0%B5%D0%B1%D1%8F
0-41*,документальный; драма; комедия,Сенна Хегде,Индия,2016,https://ru.wikipedia.org/wiki/0-41*
1 (документальный фильм),документальный,Пол Краудер,США,2013,https://ru.wikipedia.org/wiki/1_(%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
(Не)бывшие,драма; мелодрама,Стефан Бризе,Франция,2023,https://ru.wikipedia.org/wiki/(%D0%9D%D0%B5)%D0%B1%D1%8B%D0%B2%D1%88%D0%B8%D0%B5
(Не)идеальные роботы,романтическая комедия; научно-фантастический фильм; [вд],Энтони Хайнс; Каспер Кристенсен,США,2023,https://ru.wikipedia.org/wiki/(%D0%9D%D0%B5)%D0%B8%D0%B4%D0%B5%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5_%D1%80%D0%BE%D0%B1%D0%BE%D1%82%D1%8B
«SOS» над тайгой,драма; приключения,Аркадий Кольцатый,СССР,1976,https://ru.wikipedia.org/wiki/%C2%ABSOS%C2%BB_%D0%BD%D0%B0%D0%B4_%D1%82%D0%B0%D0%B9%D0%B3%D0%BE%D0%B9
"«Москвич», любовь моя",драма,Арам Шахбазян,Армения; Франция; Россия,2015,"https://ru.wikipedia.org/wiki/%C2%AB%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B8%D1%87%C2%BB,_%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C_%D0%BC%D0%BE%D1%8F"
«Спартак». Действующие лица и… болельщики,документальный; спорт,Илья Гутман; Иосиф Пастернак,СССР,1985,https://ru.wikipedia.org/wiki/%C2%AB%D0%A1%D0%BF%D0%B0%D1%80%D1%82%D0%B0%D0%BA%C2%BB._%D0%94%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D1%83%D1%8E%D1%89%D0%B8%D0%B5_%D0%BB%D0%B8%D1%86%D0%B0_%D0%B8%E2%80%A6_%D0%B1%D0%BE%D0%BB%D0%B5%D0%BB%D1%8C%D1%89%D0%B8%D0%BA%D0%B8
«Чудотворец» из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958,https://ru.wikipedia.org/wiki/%C2%AB%D0%A7%D1%83%D0%B4%D0%BE%D1%82%D0%B2%D0%BE%D1%80%D0%B5%D1%86%C2%BB_%D0%B8%D0%B7_%D0%91%D0%B8%D1%80%D1%8E%D0%BB%D1%91%D0%B2%D0%B0
…которого любили все,документально; биографический фильм,Леонид Осыка,СССР,1982,https://ru.wikipedia.org/wiki/%E2%80%A6%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D0%BE%D0%B3%D0%BE_%D0%BB%D1%8E%D0%B1%D0%B8%D0%BB%D0%B8_%D0%B2%D1%81%D0%B5
…И прекрасный миг победы,спортивный фильм,Вячеслав Винник,СССР,1984,https://ru.wikipedia.org/wiki/%E2%80%A6%D0%98_%D0%BF%D1%80%D0%B5%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B9_%D0%BC%D0%B8%D0%B3_%D0%BF%D0%BE%D0%B1%D0%B5%D0%B4%D1%8B
…и передайте привет ласточкам,"драма, военный",Яромил Йиреш,Чехословакия,1972,https://ru.wikipedia.org/wiki/%E2%80%A6%D0%B8_%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%B0%D0%B9%D1%82%D0%B5_%D0%BF%D1%80%D0%B8%D0%B2%D0%B5%D1%82_%D0%BB%D0%B0%D1%81%D1%82%D0%BE%D1%87%D0%BA%D0%B0%D0%BC
…а пятый всадник — Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965,https://ru.wikipedia.org/wiki/%E2%80%A6%D0%B0_%D0%BF%D1%8F%D1%82%D1%8B%D0%B9_%D0%B2%D1%81%D0%B0%D0%B4%D0%BD%D0%B8%D0%BA_%E2%80%94_%D0%A1%D1%82%D1%80%D0%B0%D1%85
"7 дней, 7 ночей (фильм, 2024)",семейный фильм,Айк Кбеян,Россия,2024,"https://ru.wikipedia.org/wiki/7_%D0%B4%D0%BD%D0%B5%D0%B9,_7_%D0%BD%D0%BE%D1%87%D0%B5%D0%B9_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2024)"
7 дней и ночей с Мэрилин,драма; биография,Саймон Кёртис; [англ.],Великобритания,2011,https://ru.wikipedia.org/wiki/7_%D0%B4%D0%BD%D0%B5%D0%B9_%D0%B8_%D0%BD%D0%BE%D1%87%D0%B5%D0%B9_%D1%81_%D0%9C%D1%8D%D1%80%D0%B8%D0%BB%D0%B8%D0%BD
? (фильм),драма; 1,Ханун Брамантйо; [вд]; 1,Индонезия,2011,https://ru.wikipedia.org/wiki/%3F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
7 женщин,драма,Джон Форд,США,1966,https://ru.wikipedia.org/wiki/7_%D0%B6%D0%B5%D0%BD%D1%89%D0%B8%D0%BD
7 дней до смерти,драма; фильм ужасов; триллер,Себастьян Ниман,США; Германия; Чехия,2000,https://ru.wikipedia.org/wiki/7_%D0%B4%D0%BD%D0%B5%D0%B9_%D0%B4%D0%BE_%D1%81%D0%BC%D0%B5%D1%80%D1%82%D0%B8
